Tanggal,Nomor Hari,Hari,Bulan,Tahun,Nama Service,Harga
1/1/2022,1,Saturday,January,2022,potong rambut + cuci,40000
1/1/2022,1,Saturday,January,2022,potong rambut + cuci,40000
1/1/2022,1,Saturday,January,2022,potong rambut + cuci,40000
1/1/2022,1,Saturday,January,2022,creambath,55000
1/1/2022,1,Saturday,January,2022,potong rambut + cuci + catok,70000
1/1/2022,1,Saturday,January,2022,potong rambut + cuci,40000
1/1/2022,1,Saturday,January,2022,cat rambut,200000
1/1/2022,1,Saturday,January,2022,potong rambut,35000
1/1/2022,1,Saturday,January,2022,potong rambut,35000
1/1/2022,1,Saturday,January,2022,catok,30000
1/1/2022,1,Saturday,January,2022,smothing,250000
1/2/2022,2,Sunday,January,2022,potong rambut + cuci,40000
1/2/2022,2,Sunday,January,2022,potong rambut + cuci + tonic,55000
1/2/2022,2,Sunday,January,2022,potong rambut + cuci,40000
1/2/2022,2,Sunday,January,2022,potong rambut + cuci,40000
1/2/2022,2,Sunday,January,2022,potong rambut + cuci,40000
1/2/2022,2,Sunday,January,2022,potong rambut + cuci,40000
1/2/2022,2,Sunday,January,2022,cat rambut,100000
1/2/2022,2,Sunday,January,2022,hair spa,65000
1/2/2022,2,Sunday,January,2022,hair spa,65000
1/2/2022,2,Sunday,January,2022,potong rambut anak,30000
1/2/2022,2,Sunday,January,2022,potong rambut + cuci,40000
1/2/2022,2,Sunday,January,2022,potong rambut + cuci,40000
1/2/2022,2,Sunday,January,2022,cat rambut,250000
1/2/2022,2,Sunday,January,2022,hair spa,65000
1/3/2022,3,Monday,January,2022,potong rambut + cuci,40000
1/3/2022,3,Monday,January,2022,potong rambut + cuci,40000
1/3/2022,3,Monday,January,2022,potong rambut + cuci,40000
1/3/2022,3,Monday,January,2022,potong rambut + cuci,40000
1/3/2022,3,Monday,January,2022,potong rambut,35000
1/3/2022,3,Monday,January,2022,potong rambut,35000
1/3/2022,3,Monday,January,2022,potong rambut,35000
1/3/2022,3,Monday,January,2022,potong rambut anak,30000
1/3/2022,3,Monday,January,2022,creambath,55000
1/3/2022,3,Monday,January,2022,smothing,250000
1/4/2022,4,Tuesday,January,2022,potong rambut + cuci,40000
1/4/2022,4,Tuesday,January,2022,potong rambut + cuci,40000
1/4/2022,4,Tuesday,January,2022,potong rambut + cuci,40000
1/4/2022,4,Tuesday,January,2022,potong rambut + cuci,40000
1/4/2022,4,Tuesday,January,2022,potong rambut,35000
1/4/2022,4,Tuesday,January,2022,potong rambut,35000
1/4/2022,4,Tuesday,January,2022,potong rambut,35000
1/4/2022,4,Tuesday,January,2022,catok + cuci,35000
1/4/2022,4,Tuesday,January,2022,hair spa,65000
1/4/2022,4,Tuesday,January,2022,perm (keriting),225000
1/4/2022,4,Tuesday,January,2022,cat rambut,500000
1/5/2022,5,Wednesday,January,2022,potong rambut + cuci + tonic,50000
1/5/2022,5,Wednesday,January,2022,potong rambut + cuci,40000
1/5/2022,5,Wednesday,January,2022,potong rambut + cuci,40000
1/5/2022,5,Wednesday,January,2022,potong rambut + cuci,40000
1/5/2022,5,Wednesday,January,2022,potong rambut + cuci,40000
1/5/2022,5,Wednesday,January,2022,potong rambut + cuci,40000
1/5/2022,5,Wednesday,January,2022,potong rambut + cuci,40000
1/5/2022,5,Wednesday,January,2022,potong rambut + cuci,40000
1/5/2022,5,Wednesday,January,2022,potong rambut + cuci,40000
1/5/2022,5,Wednesday,January,2022,potong rambut,35000
1/5/2022,5,Wednesday,January,2022,facial,50000
1/5/2022,5,Wednesday,January,2022,cat rambut,300000
1/6/2022,6,Thursday,January,2022,potong rambut + cuci,40000
1/6/2022,6,Thursday,January,2022,potong rambut + cuci,40000
1/6/2022,6,Thursday,January,2022,potong rambut + cuci,40000
1/6/2022,6,Thursday,January,2022,potong rambut + cuci,40000
1/6/2022,6,Thursday,January,2022,potong rambut + cuci,40000
1/6/2022,6,Thursday,January,2022,potong rambut + cuci,40000
1/6/2022,6,Thursday,January,2022,potong rambut,35000
1/6/2022,6,Thursday,January,2022,creambath,55000
1/7/2022,7,Friday,January,2022,potong rambut + cuci,40000
1/7/2022,7,Friday,January,2022,potong rambut + cuci,40000
1/7/2022,7,Friday,January,2022,potong rambut + cuci,40000
1/7/2022,7,Friday,January,2022,potong rambut + cuci,40000
